bench,name,seed,cond,delta,target,gain,acc_gain,joint_harm,apply,flip_harm,flip_help
drugban,biosnap_cluster,s2,scaffold_prot50,0.0,hard,0.08923952154040649,0.11356119073869897,0.0926130099228225,0.3318632855567806,0.07497243660418963,0.18853362734288864
drugban,biosnap_cluster,s2,scaffold_prot50,0.02,hard,0.08923952154040649,0.11356119073869897,0.0926130099228225,0.3318632855567806,0.07497243660418963,0.18853362734288864
drugban,biosnap_cluster,s2,scaffold_prot50,0.05,hard,0.08923952154040649,0.11356119073869897,0.0926130099228225,0.3318632855567806,0.07497243660418963,0.18853362734288864
drugban,biosnap_cluster,s2,scaffold_prot50,0.1,hard,0.08923952154040649,0.11356119073869897,0.0926130099228225,0.3318632855567806,0.07497243660418963,0.18853362734288864
drugban,biosnap_cluster,s2,scaffold_prot50,0.2,hard,0.09351842847418068,0.12127894156560093,0.1113561190738699,0.402425578831312,0.09922822491730982,0.2205071664829107
drugban,bindingdb_cluster,s42,prot25,0.0,hard,0.28658067171592694,0.20236087689713322,0.13546936481169197,0.6947723440134908,0.07588532883642496,0.2782462057335582
drugban,bindingdb_cluster,s42,prot25,0.02,hard,0.2865857531587519,0.20179876335019664,0.13659359190556492,0.6975829117481731,0.07700955593029792,0.27880831928049465
drugban,bindingdb_cluster,s42,prot25,0.05,hard,0.2865857531587519,0.20179876335019664,0.13659359190556492,0.6975829117481731,0.07700955593029792,0.27880831928049465
drugban,bindingdb_cluster,s42,prot25,0.1,hard,0.28882921016593444,0.20404721753794264,0.1461495222034851,0.7240022484541877,0.0837549184935357,0.28780213603147836
drugban,bindingdb_cluster,s42,prot25,0.2,hard,0.2972250240733353,0.2169758291174817,0.17481731309724563,0.8291174817313097,0.11129848229342328,0.328274311410905
drugban,bindingdb_cluster,s42,scaffold_prot50,0.0,hard,0.32795314401571174,0.26644182124789206,0.11073636874648679,0.7431141090500281,0.059584035975267007,0.3260258572231591
drugban,bindingdb_cluster,s42,scaffold_prot50,0.02,hard,0.32795314401571174,0.26644182124789206,0.1101742551995503,0.7431141090500281,0.059584035975267007,0.3260258572231591
drugban,bindingdb_cluster,s42,scaffold_prot50,0.05,hard,0.3278934370625195,0.26644182124789206,0.11073636874648679,0.7436762225969646,0.059584035975267007,0.3260258572231591
drugban,bindingdb_cluster,s42,scaffold_prot50,0.1,hard,0.3293873812530329,0.269814502529511,0.11186059584035975,0.7537942664418212,0.06127037661607645,0.33108487914558743
drugban,bindingdb_cluster,s42,scaffold_prot50,0.2,hard,0.32969417336358475,0.2653175941540191,0.12478920741989882,0.790893760539629,0.07588532883642496,0.3412029229904441
