family,dataset,condition,target,seed,alpha,delta,beta,base_metric,apply_rate,joint_harm,cond_harm,acc_gain,loss_gain,blanket_acc_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,q_hat,n_conf,n_test,exchangeable
drugban,bindingdb_random_s42_pool-source,full,cross_mask,0,0.2,0.05,0.175,0.907419,0.674797,0.000711,0.001054,0.000102,0.031745,-0.000102,0.054492,0.273476,0.838313,0.137303,2460,9840,True
drugban,bindingdb_random_s42_pool-source,full,hard,0,0.3,0.05,0.175,0.907419,0.665955,0.001524,0.002289,0.000102,0.032114,-0.000102,0.05615,0.279065,0.843801,0.081534,2460,9840,True
drugban,bindingdb_random_s42_pool-source,full,cross_mask,0,0.3,0.05,0.175,0.907419,0.672459,0.000407,0.000605,0.000102,0.031755,-0.000102,0.054492,0.273476,0.838313,0.082727,2460,9840,True
drugban,bindingdb_random_s42_pool-source,full,hard,0,0.4,0.05,0.175,0.907419,0.663008,0.001016,0.001533,0.000102,0.032145,-0.000102,0.05615,0.279065,0.843801,0.057384,2460,9840,True
drugban,bindingdb_random_s42_pool-source,full,cross_mask,0,0.4,0.05,0.175,0.907419,0.671951,0.000407,0.000605,0.000102,0.03175,-0.000102,0.054492,0.273476,0.838313,0.057592,2460,9840,True
drugban,bindingdb_random_s42_pool-source,full,hard,0,0.5,0.05,0.175,0.907419,0.66128,0.000813,0.001229,0.000102,0.032153,-0.000102,0.05615,0.279065,0.843801,0.042182,2460,9840,True
drugban,bindingdb_random_s42_pool-source,full,cross_mask,0,0.5,0.05,0.175,0.907419,0.671748,0.000407,0.000605,0.000102,0.031748,-0.000102,0.054492,0.273476,0.838313,0.041341,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot50,hard,0,0.05,0.05,0.4,0.840752,0.342886,0.001829,0.005335,0.0,0.006671,0.00752,0.091727,0.507012,0.812907,0.792823,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot50,cross_mask,0,0.05,0.05,0.4,0.840752,0.346341,0.001728,0.004988,-0.000203,0.009711,0.005386,0.088973,0.507724,0.810264,0.795346,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot50,hard,0,0.1,0.05,0.4,0.840752,0.359959,0.005081,0.014116,-0.000102,0.00737,0.00752,0.091727,0.507012,0.812907,0.659593,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot50,cross_mask,0,0.1,0.05,0.4,0.840752,0.362195,0.004878,0.013468,-0.000305,0.010392,0.005386,0.088973,0.507724,0.810264,0.661555,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot50,hard,0,0.15,0.05,0.4,0.840752,0.389228,0.014126,0.036292,0.006301,0.00977,0.00752,0.091727,0.507012,0.812907,0.520431,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot50,cross_mask,0,0.15,0.05,0.4,0.840752,0.390244,0.014024,0.035937,0.004878,0.012246,0.005386,0.088973,0.507724,0.810264,0.524423,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot50,hard,0,0.2,0.05,0.4,0.840752,0.372561,0.008537,0.022913,0.001931,0.008299,0.00752,0.091727,0.507012,0.812907,0.407477,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot50,cross_mask,0,0.2,0.05,0.4,0.840752,0.374289,0.008638,0.023079,0.001321,0.011103,0.005386,0.088973,0.507724,0.810264,0.408595,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot50,hard,0,0.3,0.05,0.4,0.840752,0.348272,0.002846,0.00817,0.0,0.006803,0.00752,0.091727,0.507012,0.812907,0.26041,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot50,cross_mask,0,0.3,0.05,0.4,0.840752,0.351829,0.003049,0.008666,-0.000203,0.009774,0.005386,0.088973,0.507724,0.810264,0.261278,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot50,hard,0,0.4,0.05,0.4,0.840752,0.341362,0.001423,0.004168,0.0,0.006665,0.00752,0.091727,0.507012,0.812907,0.194045,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot50,cross_mask,0,0.4,0.05,0.4,0.840752,0.34502,0.001423,0.004124,-0.000203,0.009705,0.005386,0.088973,0.507724,0.810264,0.18953,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot50,hard,0,0.5,0.05,0.4,0.840752,0.338415,0.001016,0.003003,0.0,0.006605,0.00752,0.091727,0.507012,0.812907,0.141879,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot50,cross_mask,0,0.5,0.05,0.4,0.840752,0.342785,0.000915,0.002668,-0.000203,0.009702,0.005386,0.088973,0.507724,0.810264,0.141996,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot25,hard,0,0.05,0.05,0.825,0.704878,0.220224,0.006199,0.02815,0.042175,0.079151,0.072256,0.257176,0.539533,0.752337,0.68493,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot25,cross_mask,0,0.05,0.05,0.825,0.704878,0.214634,0.006098,0.028409,0.04126,0.07483,0.06626,0.257565,0.54187,0.753354,0.694786,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot25,hard,0,0.1,0.05,0.825,0.704878,0.274898,0.018801,0.068392,0.062398,0.112663,0.072256,0.257176,0.539533,0.752337,0.60991,2460,9840,True
drugban,bindingdb_random_s42_pool-source,prot25,cross_mask,0,0.1,0.05,0.825,0.704878,0.268191,0.018496,0.068966,0.060061,0.106879,0.06626,0.257565,0.54187,0.753354,0.618555,2460,9840,True
