family,dataset,condition,target,seed,alpha,delta,beta,base_metric,apply_rate,joint_harm,cond_harm,acc_gain,loss_gain,blanket_acc_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,q_hat,n_conf,n_test,exchangeable
dcl,dcl_condition_specialist,low_cost_accels_only,hard,2,0.2,0.01,0.925,0.55273,0.449514,0.056844,0.126456,0.216156,2.049326,0.222887,2.71312,0.47644,0.774869,0.610504,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,2,0.2,0.05,0.925,0.55273,0.496634,0.057592,0.115964,0.216156,2.050666,0.222887,2.71312,0.430815,0.774869,0.610504,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,2,0.2,0.1,0.925,0.55273,0.545251,0.057592,0.105624,0.216904,2.081743,0.222887,2.71312,0.38893,0.774869,0.610504,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,2,0.2,0.25,0.925,0.55273,0.65445,0.057592,0.088,0.216904,2.130113,0.222887,2.71312,0.291698,0.774869,0.610504,1336,1337,True
dcl,dcl_condition_specialist,low_cost_accels_only,hard,2,0.2,0.5,0.925,0.55273,0.805535,0.056096,0.069638,0.217651,2.255847,0.222887,2.71312,0.168287,0.774869,0.610504,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,2,0.2,0.0,0.975,0.454749,0.617053,0.061331,0.099394,0.311892,1.511623,0.322364,1.929269,0.330591,0.774869,0.615862,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,2,0.2,0.01,0.975,0.454749,0.620793,0.060583,0.09759,0.311892,1.511615,0.322364,1.929269,0.326103,0.774869,0.615862,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,2,0.2,0.05,0.975,0.454749,0.643979,0.060583,0.094077,0.31264,1.51361,0.322364,1.929269,0.304413,0.774869,0.615862,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,2,0.2,0.1,0.975,0.454749,0.675393,0.060583,0.089701,0.311892,1.520915,0.322364,1.929269,0.275243,0.774869,0.615862,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,2,0.2,0.25,0.975,0.454749,0.757666,0.062079,0.081935,0.311144,1.548687,0.322364,1.929269,0.205684,0.774869,0.615862,1336,1337,True
dcl,dcl_full_masked,low_cost_accels_only,hard,2,0.2,0.5,0.975,0.454749,0.863874,0.056844,0.065801,0.311892,1.627749,0.322364,1.929269,0.124159,0.774869,0.615862,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,2,0.2,0.0,0.9,0.591623,0.441286,0.060583,0.137288,0.182498,1.068274,0.206432,1.463004,0.486911,0.797307,0.57636,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,2,0.2,0.01,0.9,0.591623,0.44727,0.061331,0.137124,0.182498,1.067613,0.206432,1.463004,0.481675,0.797307,0.57636,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,2,0.2,0.05,0.9,0.591623,0.500374,0.060583,0.121076,0.182498,1.066252,0.206432,1.463004,0.42558,0.797307,0.57636,1336,1337,True
dcl,dcl_condition_specialist,no_shoes,hard,2,0.2,0.1,0.9,0.591623,0.554974,0.059088,0.106469,0.183246,1.077599,0.206432,1.463004,0.373972,0.797307,0.57636,1336,1337,True
