family,dataset,condition,seed,exchangeable,alpha,target,apply_rate,joint_harm,acc_gain,blanket_joint_harm,blanket_acc_gain
ave,ave,eta0.8,1,True,0.3,hard,0.7164179104477612,0.22388059701492538,0.11641791044776129,0.40746268656716417,0.11567164179104483
ave,ave,eta0.8,1,True,0.5,hard,0.9828358208955223,0.3970149253731343,0.11567164179104483,0.40746268656716417,0.11567164179104483
ave,ave,eta0.8,2,True,0.05,hard,0.21417910447761193,0.05298507462686567,0.10522388059701487,0.3940298507462687,0.14626865671641792
ave,ave,eta0.8,2,True,0.1,hard,0.3649253731343284,0.10223880597014925,0.13582089552238802,0.3940298507462687,0.14626865671641792
ave,ave,eta0.8,2,True,0.2,hard,0.5126865671641792,0.1582089552238806,0.14477611940298502,0.3940298507462687,0.14626865671641792
ave,ave,eta0.8,2,True,0.3,hard,0.7910447761194029,0.24402985074626865,0.14626865671641792,0.3940298507462687,0.14626865671641792
ave,ave,eta0.8,2,True,0.5,hard,0.9798507462686568,0.3835820895522388,0.14626865671641792,0.3940298507462687,0.14626865671641792
ave,ave,eta1.0,0,True,0.05,hard,0.22388059701492538,0.04776119402985075,0.12089552238805967,0.37910447761194027,0.1694029850746268
ave,ave,eta1.0,0,True,0.1,hard,0.3723880597014925,0.09029850746268657,0.16119402985074627,0.37910447761194027,0.1694029850746268
ave,ave,eta1.0,0,True,0.2,hard,0.6104477611940299,0.1783582089552239,0.1694029850746268,0.37910447761194027,0.1694029850746268
ave,ave,eta1.0,0,True,0.3,hard,0.8768656716417911,0.3,0.1694029850746268,0.37910447761194027,0.1694029850746268
ave,ave,eta1.0,0,True,0.5,hard,0.9619402985074627,0.3559701492537313,0.1694029850746268,0.37910447761194027,0.1694029850746268
ave,ave,eta1.0,1,True,0.05,hard,0.1798507462686567,0.03805970149253731,0.10820895522388063,0.3723880597014925,0.16194029850746272
ave,ave,eta1.0,1,True,0.1,hard,0.3082089552238806,0.07313432835820896,0.14850746268656712,0.3723880597014925,0.16194029850746272
ave,ave,eta1.0,1,True,0.2,hard,0.573134328358209,0.1783582089552239,0.16194029850746272,0.3723880597014925,0.16194029850746272
ave,ave,eta1.0,1,True,0.3,hard,0.8432835820895522,0.26865671641791045,0.16194029850746272,0.3723880597014925,0.16194029850746272
ave,ave,eta1.0,1,True,0.5,hard,0.9761194029850746,0.3619402985074627,0.16194029850746272,0.3723880597014925,0.16194029850746272
ave,ave,eta1.0,2,True,0.05,hard,0.21641791044776118,0.041791044776119404,0.11940298507462693,0.367910447761194,0.15746268656716417
ave,ave,eta1.0,2,True,0.1,hard,0.3686567164179104,0.08880597014925373,0.16044776119402987,0.367910447761194,0.15746268656716417
ave,ave,eta1.0,2,True,0.2,hard,0.5992537313432836,0.19402985074626866,0.15746268656716417,0.367910447761194,0.15746268656716417
ave,ave,eta1.0,2,True,0.3,hard,0.7611940298507462,0.26417910447761195,0.15746268656716417,0.367910447761194,0.15746268656716417
ave,ave,eta1.0,2,True,0.5,hard,0.9037313432835821,0.3455223880597015,0.15746268656716417,0.367910447761194,0.15746268656716417
