dataset,condition,is_null,seed,measure,certify,beta,base_acc,d_acc,loss_gain,apply_rate,joint_harm,cond_harm
drugban_bindingdb_random_s42,scaffold,0,0,on,on,0.65,0.779167,0.050407,0.097625,0.331301,0.021545,0.065031
drugban_bindingdb_random_s42,scaffold,0,0,on,off,0.65,0.779167,0.05874,0.320494,1.0,0.551118,0.551118
drugban_bindingdb_random_s42,scaffold,0,0,off,on,1.0,0.779167,0.039329,0.154565,0.419309,0.090549,0.215948
drugban_bindingdb_random_s42,scaffold,0,0,off,off,1.0,0.779167,0.03811,0.270743,1.0,0.585772,0.585772
drugban_bindingdb_random_s42,scaffold,0,1,on,on,0.65,0.779167,0.048272,0.092169,0.325915,0.02002,0.061428
drugban_bindingdb_random_s42,scaffold,0,1,on,off,0.65,0.779167,0.05874,0.320494,1.0,0.551118,0.551118
drugban_bindingdb_random_s42,scaffold,0,1,off,on,1.0,0.779167,0.039329,0.154565,0.419309,0.090549,0.215948
drugban_bindingdb_random_s42,scaffold,0,1,off,off,1.0,0.779167,0.03811,0.270743,1.0,0.585772,0.585772
drugban_bindingdb_random_s42,scaffold,0,2,on,on,0.7,0.779167,0.052236,0.10951,0.329776,0.02185,0.066256
drugban_bindingdb_random_s42,scaffold,0,2,on,off,0.7,0.779167,0.059146,0.320297,1.0,0.554167,0.554167
drugban_bindingdb_random_s42,scaffold,0,2,off,on,1.0,0.779167,0.042175,0.151758,0.405894,0.082419,0.203055
drugban_bindingdb_random_s42,scaffold,0,2,off,off,1.0,0.779167,0.03811,0.270743,1.0,0.585772,0.585772
drugban_bindingdb_random_s42,scaffold_prot50,0,0,on,on,0.8,0.715244,0.083638,0.180527,0.387297,0.051931,0.134086
drugban_bindingdb_random_s42,scaffold_prot50,0,0,on,off,0.8,0.715244,0.084451,0.37493,1.0,0.522663,0.522663
drugban_bindingdb_random_s42,scaffold_prot50,0,0,off,on,1.0,0.715244,0.073069,0.200996,0.420935,0.086585,0.205698
drugban_bindingdb_random_s42,scaffold_prot50,0,0,off,off,1.0,0.715244,0.065955,0.346198,1.0,0.545833,0.545833
drugban_bindingdb_random_s42,scaffold_prot50,0,1,on,on,0.775,0.715244,0.082215,0.170809,0.376829,0.046951,0.124595
drugban_bindingdb_random_s42,scaffold_prot50,0,1,on,off,0.775,0.715244,0.082215,0.374738,1.0,0.521951,0.521951
drugban_bindingdb_random_s42,scaffold_prot50,0,1,off,on,1.0,0.715244,0.073069,0.200996,0.420935,0.086585,0.205698
drugban_bindingdb_random_s42,scaffold_prot50,0,1,off,off,1.0,0.715244,0.065955,0.346198,1.0,0.545833,0.545833
drugban_bindingdb_random_s42,scaffold_prot50,0,2,on,on,0.775,0.715244,0.08252,0.171563,0.380793,0.04878,0.128102
drugban_bindingdb_random_s42,scaffold_prot50,0,2,on,off,0.775,0.715244,0.082215,0.374738,1.0,0.521951,0.521951
drugban_bindingdb_random_s42,scaffold_prot50,0,2,off,on,1.0,0.715244,0.070935,0.212285,0.44624,0.100305,0.224778
drugban_bindingdb_random_s42,scaffold_prot50,0,2,off,off,1.0,0.715244,0.065955,0.346198,1.0,0.545833,0.545833
hateful_memes,complete,1,0,on,on,1.0,0.609,-0.008,0.000472,0.332,0.05,0.150602
hateful_memes,complete,1,0,on,off,1.0,0.609,-0.045,0.135771,1.0,0.468,0.468
hateful_memes,complete,1,0,off,on,1.0,0.609,-0.008,0.000472,0.332,0.05,0.150602
hateful_memes,complete,1,0,off,off,1.0,0.609,-0.045,0.135771,1.0,0.468,0.468
hateful_memes,complete,1,1,on,on,0.8,0.609,-0.002,0.016445,0.411,0.053,0.128954
hateful_memes,complete,1,1,on,off,0.8,0.609,-0.024,0.1302,1.0,0.426,0.426
hateful_memes,complete,1,1,off,on,1.0,0.609,-0.007,0.00083,0.345,0.056,0.162319
hateful_memes,complete,1,1,off,off,1.0,0.609,-0.045,0.135771,1.0,0.468,0.468
hateful_memes,complete,1,2,on,on,0.775,0.609,-0.002,0.019128,0.414,0.049,0.118357
hateful_memes,complete,1,2,on,off,0.775,0.609,-0.024,0.129197,1.0,0.422,0.422
hateful_memes,complete,1,2,off,on,1.0,0.609,-0.007,0.00083,0.345,0.056,0.162319
hateful_memes,complete,1,2,off,off,1.0,0.609,-0.045,0.135771,1.0,0.468,0.468
hateful_memes,textmiss,1,0,on,on,0.0,0.51,0.0,-0.0,1.0,0.0,0.0
hateful_memes,textmiss,1,0,on,off,0.0,0.51,0.0,-0.0,1.0,0.0,0.0
hateful_memes,textmiss,1,0,off,on,1.0,0.51,-0.002,-0.029229,0.483,0.123,0.254658
hateful_memes,textmiss,1,0,off,off,1.0,0.51,-0.004,-0.028651,1.0,0.396,0.396
hateful_memes,textmiss,1,1,on,on,0.0,0.51,0.0,-0.0,1.0,0.0,0.0
hateful_memes,textmiss,1,1,on,off,0.0,0.51,0.0,-0.0,1.0,0.0,0.0
hateful_memes,textmiss,1,1,off,on,1.0,0.51,-0.002,-0.032913,0.513,0.142,0.276803
hateful_memes,textmiss,1,1,off,off,1.0,0.51,-0.004,-0.028651,1.0,0.396,0.396
hateful_memes,textmiss,1,2,on,on,0.0,0.51,0.0,-0.0,1.0,0.0,0.0
hateful_memes,textmiss,1,2,on,off,0.0,0.51,0.0,-0.0,1.0,0.0,0.0
hateful_memes,textmiss,1,2,off,on,1.0,0.51,-0.002,-0.029229,0.483,0.123,0.254658
hateful_memes,textmiss,1,2,off,off,1.0,0.51,-0.004,-0.028651,1.0,0.396,0.396
hateful_memes,imgmiss,1,0,on,on,0.6,0.544,0.004,-0.003018,0.623,0.078,0.125201
hateful_memes,imgmiss,1,0,on,off,0.6,0.544,0.009,0.002754,1.0,0.264,0.264
hateful_memes,imgmiss,1,0,off,on,1.0,0.544,0.001,-0.016152,0.534,0.098,0.183521
hateful_memes,imgmiss,1,0,off,off,1.0,0.544,0.006,-0.002641,1.0,0.323,0.323
hateful_memes,imgmiss,1,1,on,on,0.625,0.544,0.005,-0.003625,0.609,0.08,0.131363
hateful_memes,imgmiss,1,1,on,off,0.625,0.544,0.01,0.002594,1.0,0.273,0.273
hateful_memes,imgmiss,1,1,off,on,1.0,0.544,0.001,-0.016152,0.534,0.098,0.183521
hateful_memes,imgmiss,1,1,off,off,1.0,0.544,0.006,-0.002641,1.0,0.323,0.323
hateful_memes,imgmiss,1,2,on,on,0.85,0.544,0.002,-0.010832,0.577,0.103,0.17851
hateful_memes,imgmiss,1,2,on,off,0.85,0.544,0.007,0.00012,1.0,0.308,0.308
hateful_memes,imgmiss,1,2,off,on,1.0,0.544,0.001,-0.016152,0.534,0.098,0.183521
hateful_memes,imgmiss,1,2,off,off,1.0,0.544,0.006,-0.002641,1.0,0.323,0.323
food101,complete,1,0,on,on,0.275,0.896324,0.0,0.011278,0.752479,0.006687,0.008887
food101,complete,1,0,on,off,0.275,0.896324,0.002168,0.09354,1.0,0.18217,0.18217
food101,complete,1,0,off,on,1.0,0.896324,-0.000323,-0.148656,0.703547,0.01937,0.027532
food101,complete,1,0,off,off,1.0,0.896324,-0.023428,-0.476002,1.0,0.262279,0.262279
food101,complete,1,1,on,on,0.25,0.896324,0.0,0.011292,0.758382,0.006826,0.009
food101,complete,1,1,on,off,0.25,0.896324,0.001983,0.093509,1.0,0.176129,0.176129
food101,complete,1,1,off,on,1.0,0.896324,-0.00083,-0.155852,0.706083,0.020892,0.029589
food101,complete,1,1,off,off,1.0,0.896324,-0.023428,-0.476002,1.0,0.262279,0.262279
food101,complete,1,2,on,on,0.25,0.896324,0.0,0.011258,0.759351,0.006964,0.009171
food101,complete,1,2,on,off,0.25,0.896324,0.001983,0.093509,1.0,0.176129,0.176129
food101,complete,1,2,off,on,1.0,0.896324,-0.00309,-0.178181,0.715814,0.026841,0.037498
food101,complete,1,2,off,off,1.0,0.896324,-0.023428,-0.476002,1.0,0.262279,0.262279
food101,textmiss,1,0,on,on,0.325,0.620117,0.0,0.003667,0.156205,0.004474,0.028639
food101,textmiss,1,0,on,off,0.325,0.620117,0.008624,0.368981,1.0,0.578933,0.578933
food101,textmiss,1,0,off,on,1.0,0.620117,0.005719,-0.331599,0.15104,0.035881,0.237557
food101,textmiss,1,0,off,off,1.0,0.620117,-0.028548,-1.485392,1.0,0.681087,0.681087
