condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,threshold,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,seed,host
v,cross_mask,0.4,0.5761772853185596,-0.005540166204986208,0.0027700831024930483,1.3318045350105343,0.063092152353215,0.1366345926526899,0.5734072022160664,0.45706371191135736,0.11372303208429581,0.015059213947346103,0.29362880886426596,0.18005540166204986,0.6132075471698113,0.3642753746170324,4446,362,362,361,0.2,0.05,50,True,2,tmdc_iemocap4
t,hard,0.25,0.7423822714681441,-0.005540166204986208,-0.008310249307479256,0.9959789062340428,0.0016317741888553796,0.21271490655386602,0.7645429362880887,0.42382271468144045,0.0688183512442451,0.01217497360281864,0.3490304709141274,0.2409972299168975,0.6904761904761905,0.26406600709223865,4446,362,362,361,0.2,0.05,50,True,0,tmdc_iemocap4
t,cross_mask,0.25,0.7423822714681441,-0.005540166204986208,-0.0027700831024930483,0.9959789062340428,-0.01651203390618674,0.20813550392668217,0.7700831024930748,0.4182825484764543,0.0688183512442451,0.01217497360281864,0.34349030470914127,0.2631578947368421,0.7661290322580645,0.26128920433986147,4446,362,362,361,0.2,0.05,50,True,0,tmdc_iemocap4
t,hard,0.25,0.7063711911357341,0.0,0.0,1.0929113938321862,0.047040187262431546,0.27632242773583665,0.7202216066481995,0.49584487534626037,0.06903777308221352,0.012071247407711386,0.23268698060941828,0.11634349030470914,0.5,0.27608853135342415,4446,362,362,361,0.2,0.05,50,True,1,tmdc_iemocap4
t,cross_mask,0.25,0.7063711911357341,-0.0027700831024930483,0.0,1.0929113938321862,0.027183154283940865,0.2692672212266374,0.7257617728531855,0.47368421052631576,0.06903777308221352,0.012071247407711386,0.24930747922437674,0.13019390581717452,0.5222222222222223,0.2926035765043782,4446,362,362,361,0.2,0.05,50,True,1,tmdc_iemocap4
t,hard,0.275,0.6952908587257618,-0.005540166204986208,-0.005540166204986208,1.0468913446281356,0.045954614380551775,0.21392266692986311,0.7451523545706371,0.46814404432132967,0.049470399137944,0.012423748707519855,0.28254847645429365,0.1994459833795014,0.7058823529411765,0.28160596685986133,4446,362,362,361,0.2,0.05,50,True,2,tmdc_iemocap4
t,cross_mask,0.25,0.6952908587257618,-0.005540166204986208,-0.005540166204986208,1.0468913446281356,0.04912789865726654,0.2100869715676325,0.739612188365651,0.44598337950138506,0.049470399137944,0.012423748707519855,0.29085872576177285,0.19390581717451524,0.6666666666666666,0.2785663599402457,4446,362,362,361,0.2,0.05,50,True,2,tmdc_iemocap4
av,hard,0.05,0.6980609418282548,0.0,0.0,0.8088854368209424,0.006880663864970397,0.006880663864970397,0.0,0.5817174515235457,0.06254985620456967,0.012006276025736458,1.0,0.0,0.0,0.16321600474497058,4446,362,362,361,0.2,0.05,50,True,0,tmdc_iemocap4
av,cross_mask,0.025,0.6980609418282548,0.0027700831024930483,0.0027700831024930483,0.8088854368209424,0.0038524774440981025,0.003872942755545327,0.0,0.5817174515235457,0.06254985620456967,0.012006276025736458,0.9944598337950139,0.0,0.0,0.13978333773681198,4446,362,362,361,0.2,0.05,50,True,0,tmdc_iemocap4
av,hard,0.07500000000000001,0.6814404432132964,-0.008310249307479256,-0.008310249307479256,0.8216631043295923,0.009047920427285566,0.011173673431107426,0.05263157894736842,0.5789473684210527,0.05519743095046289,0.011751989007286816,0.9944598337950139,0.04986149584487535,0.05013927576601671,0.15472370635520946,4446,362,362,361,0.2,0.05,50,True,1,tmdc_iemocap4
av,cross_mask,0.05,0.6814404432132964,0.0,0.0,0.8216631043295923,0.008096120753216914,0.00952337963006012,0.0,0.5817174515235457,0.05519743095046289,0.011751989007286816,0.9944598337950139,0.0,0.0,0.16034741431829888,4446,362,362,361,0.2,0.05,50,True,1,tmdc_iemocap4
av,hard,0.07500000000000001,0.6620498614958449,-0.005540166204986208,-0.005540166204986208,0.8332933817205856,0.007507630120731879,0.007507630120731879,0.05263157894736842,0.5706371191135734,0.04971297820355571,0.011716919947614587,1.0,0.05263157894736842,0.05263157894736842,0.10601658281160213,4446,362,362,361,0.2,0.05,50,True,2,tmdc_iemocap4
av,cross_mask,0.07500000000000001,0.6620498614958449,-0.0027700831024930483,-0.0027700831024930483,0.8332933817205856,0.00562122201883478,0.00562122201883478,0.05263157894736842,0.554016620498615,0.04971297820355571,0.011716919947614587,1.0,0.05263157894736842,0.05263157894736842,0.1319464011768098,4446,362,362,361,0.2,0.05,50,True,2,tmdc_iemocap4
