condition,target,beta,base_metric,blanket_metric_delta,gate_metric_delta,base_loss,gate_loss_gain,blanket_loss_gain,blanket_joint_harm,target_accuracy,ph,ph_se,apply_rate,joint_harm,cond_harm,q_hat,n_pool,n_fit,n_conf,n_test,alpha,delta,k,exchangeable,notes,seed,design,protocol,base_acc,base_wf1,blanket_acc,blanket_wf1,gated_acc,gated_wf1
no_shoes,hard,0.925,0.649962602842184,0.11817501869857894,0.10695587135377715,2.022646037936561,0.8529080132030269,1.4408456745598135,0.4338070306656694,0.7569184741959611,0.23248460517940667,0.010610716066355831,0.4981301421091997,0.06955871353777113,0.13963963963963963,0.5526719414453987,1336,1336,1336,1337,0.2,0.05,50,True,[],1,condition_specialist,deployment,0.649962602842184,0.643276134152162,0.7681376215407629,0.769581462481235,0.7569184741959611,0.7579459815942133
no_shoes,cross_mask,0.725,0.649962602842184,-0.0777860882572925,0.005983545250560995,2.022646037936561,0.022881666950324026,1.0343988424759465,0.5901271503365744,0.5430067314884068,0.23248460517940667,0.010610716066355831,0.11593118922961855,0.012715033657442034,0.10967741935483871,0.7754929764708665,1336,1336,1336,1337,0.2,0.05,50,True,[],1,condition_specialist,deployment,0.649962602842184,0.643276134152162,0.5721765145848915,0.5625407863010382,0.655946148092745,0.6473368810582577
no_shoes,hard,0.95,0.543754674644727,0.22887060583395658,0.2124158563949139,2.6803839201756783,1.5323828283328684,2.1213503991457956,0.3582647718773373,0.7733732236350037,0.32999750165520747,0.011708585037669073,0.575168287210172,0.05609573672400898,0.09752925877763328,0.5890111726943603,1336,1336,1336,1337,0.2,0.05,50,True,[],1,full_masked,deployment,0.543754674644727,0.5109656730474266,0.7726252804786836,0.7631259268476277,0.7561705310396409,0.7443205429586431
no_shoes,cross_mask,0.825,0.543754674644727,0.00224382946896029,-0.0014958863126403044,2.6803839201756783,0.024820749699933968,1.4959728296659096,0.487658937920718,0.5385190725504861,0.32999750165520747,0.011708585037669073,0.11967090501121914,0.009723261032161555,0.08125,0.864350261465709,1336,1336,1336,1337,0.2,0.05,50,True,[],1,full_masked,deployment,0.543754674644727,0.5109656730474266,0.5459985041136873,0.5034883176594341,0.5422587883320867,0.5098794034408056
no_imu_family,hard,0.875,0.5190725504861631,0.20194465220643232,0.212415856394914,2.4532183344308574,1.35471766906173,1.8145781173698905,0.44801795063575167,0.7135377711293942,0.33853011266597327,0.011871098997639468,0.4906507105459985,0.08227374719521316,0.1676829268292683,0.6087728074837674,1336,1336,1336,1337,0.2,0.05,50,True,[],1,condition_specialist,deployment,0.5190725504861631,0.4841874408389942,0.7210172026925954,0.7120611589719259,0.7314884068810771,0.7201251342477669
no_imu_family,cross_mask,1.0,0.5190725504861631,-0.002243829468960401,0.08376963350785338,2.4532183344308574,0.5097827184218642,1.0221079549017993,0.5078534031413613,0.5168287210172027,0.33853011266597327,0.011871098997639468,0.29768137621540763,0.055347793567688854,0.18592964824120603,0.9119523524995282,1336,1336,1336,1337,0.2,0.05,50,True,[],1,condition_specialist,deployment,0.5190725504861631,0.4841874408389942,0.5168287210172027,0.4847735642482824,0.6028421839940165,0.5986499594735077
no_imu_family,hard,0.975,0.4779356768885565,0.28197456993268505,0.27449513836948386,2.6666712587505104,1.5999125992894117,2.0954114835596744,0.36574420344053854,0.7576664173522812,0.3566881839516796,0.01135111699587835,0.6163051608077786,0.08825729244577413,0.14320388349514562,0.6098589592890131,1336,1336,1336,1337,0.2,0.05,50,True,[],1,full_masked,deployment,0.4779356768885565,0.45499325254713646,0.7599102468212415,0.7598299066120779,0.7524308152580403,0.7481577966869681
no_imu_family,cross_mask,1.0,0.4779356768885565,0.05086013462976807,0.041136873597606594,2.6666712587505104,0.13042930887101636,1.2126261518839274,0.4255796559461481,0.5287958115183246,0.3566881839516796,0.01135111699587835,0.21091997008227376,0.04038893044128646,0.19148936170212766,0.9121455960850289,1336,1336,1336,1337,0.2,0.05,50,True,[],1,full_masked,deployment,0.4779356768885565,0.45499325254713646,0.5287958115183246,0.5051469162750358,0.5190725504861631,0.5032716183880768
severe_three_sensors,hard,1.0,0.6200448765893792,0.15632011967090498,0.17202692595362745,3.1582011702261585,1.9591177113723477,2.590854527129923,0.49289454001495886,0.7763649962602842,0.2926501222334582,0.011857785113613127,0.4525056095736724,0.04786836200448766,0.10578512396694215,0.5800000000000001,1336,1336,1336,1337,0.2,0.05,50,True,[],1,condition_specialist,deployment,0.6200448765893792,0.6102614941895028,0.7763649962602842,0.7695600489218013,0.7920718025430067,0.7900571793578425
severe_three_sensors,cross_mask,0.825,0.6200448765893792,-0.05086013462976813,-0.0029917726252804977,3.1582011702261585,0.02262812050887873,1.9377776815952934,0.5332834704562454,0.531039640987285,0.2926501222334582,0.011857785113613127,0.13986537023186238,0.014210919970082274,0.10160427807486631,0.8695095645680777,1336,1336,1336,1337,0.2,0.05,50,True,[],1,condition_specialist,deployment,0.6200448765893792,0.6102614941895028,0.5691847419596111,0.558960992559302,0.6170531039640987,0.605249846259206
